gene1	gene2
cbt	CG2678
rdx	CG2678
blow	CG2678
sty	crc
chrw	W
Khc	bowl
sdt	bowl
Patj	bowl
Fas3	bowl
Nrx-IV	bowl
prd	bowl
tral	e
jagn	e
cg	e
Tl	e
sle	ben
Ddx1	ben
Dl	ben
da	rdo
hpo	rdo
glu	rdo
CycE	rdo
esc	rdo
alien	rdo
CycA	rdo
E(z)	rdo
Caf1	rdo
dmt	rdo
thr	rdo
asf1	rdo
CG8149	lin
Traf6	lin
Lcp65Ag1	tra
Axn	tra
puc	tra2
by	tra2
sgg	tra2
Rab7	tra2
RhoGAPp190	cathD
scrib	cathD
tow	cathD
cin	cathD
14-3-3zeta	cathD
uzip	cathD
Moe	eg
mbo	Cyt-c-d
spn-A	tok
Borr	tok
glu	tok
CycE	tok
esc	tok
alien	tok
CycA	tok
Caf1	tok
dmt	tok
thr	tok
asf1	tok
lva	tok
tral	tamo
Tl	Mmp1
Traf6	Mmp1
cnk	Hmgs
twf	caps
ast	caps
fs(1)M3	caps
Atx2	caps
neur	caps
MYPT-75D	Su(var)2-10
CycB	Su(var)2-10
sina	Su(var)2-10
hpo	Su(var)2-10
tok	spn-A
Borr	spn-A
CG16719	spn-A
ine	spn-A
bon	spn-A
cin	spn-A
Mer	spn-A
glu	spn-A
CycE	spn-A
esc	spn-A
alien	spn-A
Dl	spn-A
Stat92E	spn-A
CycA	spn-A
Eip63F-1	spn-A
E(z)	spn-A
Caf1	spn-A
dmt	spn-A
thr	spn-A
asf1	spn-A
hdc	Ptpmeg
vap	Ptpmeg
kuz	Ptpmeg
eg	Ptpmeg
Fmr1	qua
Mitf	qua
tup	tsh
tutl	tsh
pn	CG18369
dah	CG18369
cnk	sec23
pot	sec23
Su(H)	sec23
tum	sec23
alph	sec23
mbo	sec23
wee	sec23
osa	sec23
Hr46	sec23
eff	sec23
pbl	sec23
cactin	Pde8
sec23	Pde8
cos	Pde8
ash1	Pde8
Su(H)	Pde8
alph	Pde8
mbo	Pde8
Btk29A	Pde8
CG8149	Arp66B
Traf6	Arp66B
emp	Arp66B
pbl	cos
cactin	cos
Cyt-c-d	cos
sec23	cos
Pde8	cos
cnk	cos
pot	cos
Su(H)	cos
tum	cos
alph	cos
mbo	cos
wee	cos
osa	cos
Hr46	cos
eff	cos
rdo	cos
da	Borr
hpo	Borr
tok	Borr
spn-A	Borr
Dl	Borr
Stat92E	Borr
CycA	Borr
Eip63F-1	Borr
E(z)	Borr
Caf1	Borr
dmt	Borr
thr	Borr
asf1	Borr
eg	Borr
MED4	140up
dsf	140up
Moe	140up
robo	cas
run	cas
Akt1	Abi
CG8247	betaTub56D
ena	betaTub56D
sqd	dome
rad50	dome
Atg6	sktl
sw	sktl
Hs2st	sktl
rg	sktl
Dat	sktl
dome	sqd
tud	sqd
